sale_id,product_id,customer_id,branch_id,quantity,unit_price,sale_date,total
1,67,105,2,4,4286.14,2024-04-08 22:20:41.739388,17144.56
2,13,144,5,2,4064.07,2024-01-29 17:19:13.819412,8128.14
3,82,7,2,1,4413.59,2024-02-20 22:49:30.426847,4413.59
4,26,137,2,7,4944.17,2024-10-18 20:14:04.552177,34609.19
5,67,45,5,4,3344.12,2024-11-14 06:58:21.166072,13376.48
6,41,124,1,8,262.54,2024-05-13 09:16:55.043785,2100.32
7,9,115,9,1,1244.22,2024-10-07 02:30:16.503814,1244.22
8,97,127,4,7,833.72,2024-11-14 20:06:47.349547,5836.04
9,54,100,2,4,2959.78,2024-11-02 02:32:26.410922,11839.12
10,17,138,2,7,2439.57,2024-01-24 16:54:56.658707,17076.99
11,100,3,5,8,4668.95,2024-04-10 03:52:30.252071,37351.6
12,86,29,1,8,2022.32,2024-09-15 17:12:46.070165,16178.56
13,2,14,5,6,396.17,2024-05-05 01:44:29.310395,2377.02
14,17,88,8,1,216.76,2024-07-23 11:28:01.867569,216.76
15,11,10,9,9,4072.0,2024-11-27 04:27:46.833583,36648.0
16,34,57,2,5,3212.61,2024-01-02 08:24:37.868037,16063.05
17,41,48,10,6,1034.77,2024-12-14 16:19:16.248367,6208.62
18,68,29,8,6,4541.66,2024-07-09 14:51:25.219931,27249.96
19,74,109,4,7,2838.54,2024-12-16 04:15:14.395425,19869.78
20,62,21,4,4,3078.84,2024-07-22 15:50:07.569881,12315.36
21,45,77,3,9,4611.04,2024-07-20 09:31:30.087225,41499.36
22,96,131,5,4,347.9,2024-10-03 02:28:20.320780,1391.6
23,38,149,10,6,4236.82,2024-09-21 16:26:54.200927,25420.92
24,42,96,8,9,4892.23,2024-03-16 14:25:45.416715,44030.07
25,41,143,5,9,1457.71,2024-10-15 18:26:42.233279,13119.39
26,94,107,7,1,2751.38,2024-05-02 14:17:43.795236,2751.38
27,99,120,9,1,2175.6,2024-09-29 12:35:20.386497,2175.6
